Neighborhood,Year,Number of Rent Regulated Housing
Bedford Stuyvesant,2008,0.25942
Bushwick,2008,0.38278
East New York,2008,0.37281
Park Slope,2008,0.37145
Sunset Park,2008,0.35271
Crown Heights North,2008,0.57726
Crown Heights South,2008,0.78947
Bay Ridge,2008,0.51672
Bensonhurst,2008,0.4649
Borough Park,2008,0.51687
Coney Island,2008,0.55579
Flatbush/Midwood,2008,0.86399
Sheepshead Bay,2008,0.54512
Brownsville,2008,0.38715
East Flatbush,2008,0.52521
Canarsie,2008,0.11327
Astoria,2008,0.53931
Sunnyside/Woodside,2008,0.68809
Jackson Heights,2008,0.56341
Elmhurst/Corona,2008,0.60489
Ridgewood/Glendale,2008,0.3605
Rego Park/Forest Hills,2008,0.73009
Flushing,2008,0.5285
Fresh Meadows/Briarwood,2008,0.61227
Woodhaven,2008,0.29775
Howard Beach,2008,0.15625
Bayside,2008,0.09802
Jamaica/St. Albans,2008,0.46325
Queens Village,2008,0.25836
The Rockaways,2008,0.5147
St. George,2008,0.26499
South Beach,2008,0.05423
Tottenville,2008,0.21367
Bronx,2008,0.67325
Brooklyn,2008,0.49076
Manhattan,2008,0.59537
Queens,2008,0.50613
Staten Island,2008,0.19411
New York City,2008,0.54819
Battery Park/Tribeca,2011,0.42362
Greenwich Village,2011,0.42362
Lower East Side,2011,0.54148
Chelsea/Clinton,2011,0.50531
Midtown Business District,2011,0.50531
Murray Hill/Stuyvesant,2011,0.42937
Upper West Side,2011,0.45576
Upper East Side,2011,0.5073
Manhattanville,2011,0.66727
Central Harlem,2011,0.64393
East Harlem,2011,0.49694
Washington Heights,2011,0.89115
Mott Haven,2011,0.48992
Hunts Point,2011,0.48992
Morrisania,2011,0.6321
Concourse/Highbridge,2011,0.91797
University Heights,2011,0.87387
East Tremont,2011,0.6321
Bedford Park,2011,0.93891
Riverdale,2011,0.78728
Unionport/Soundview,2011,0.47976
Throgs Neck,2011,0.46763
Pelham Parkway,2011,0.49856
Williamsbridge,2011,0.4627
Williamsburg/Greenpoint,2011,0.54939
Fort Greene/Brooklyn Hts,2011,0.38679
Bedford Stuyvesant,2011,0.41532
Bushwick,2011,0.39502
East New York,2011,0.38023
Park Slope,2011,0.36554
Sunset Park,2011,0.4768
Crown Heights North,2011,0.57158
Crown Heights South,2011,0.81149
Bay Ridge,2011,0.55551
Bensonhurst,2011,0.48055
Borough Park,2011,0.4734
Coney Island,2011,0.60312
Flatbush/Midwood,2011,0.76184
Sheepshead Bay,2011,0.53194
Brownsville,2011,0.41684
East Flatbush,2011,0.56542
Canarsie,2011,0.12068
Astoria,2011,0.52415
Sunnyside/Woodside,2011,0.61035
Jackson Heights,2011,0.51251
Elmhurst/Corona,2011,0.54358
Ridgewood/Glendale,2011,0.38013
Rego Park/Forest Hills,2011,0.71634
Flushing,2011,0.4471
Fresh Meadows/Briarwood,2011,0.54471
Woodhaven,2011,0.35809
Howard Beach,2011,0.0392
Bayside,2011,0.2258
Jamaica/St. Albans,2011,0.35549
Queens Village,2011,0.10963
The Rockaways,2011,0.46661
St. George,2011,0.28776
South Beach,2011,0.10342
Tottenville,2011,0.11082
Bronx,2011,0.66739
Brooklyn,2011,0.49445
Manhattan,2011,0.54969
Queens,2011,0.4591
Staten Island,2011,0.18968
New York City,2011,0.52529
Battery Park/Tribeca,2014,0.44812
Greenwich Village,2014,0.44812
Lower East Side,2014,0.52115
Chelsea/Clinton,2014,0.51451
Midtown Business District,2014,0.51451
Murray Hill/Stuyvesant,2014,0.46268
Upper West Side,2014,0.51091
Upper East Side,2014,0.55596
Manhattanville,2014,0.69289
Central Harlem,2014,0.64514
East Harlem,2014,0.49056
Washington Heights,2014,0.89967
Mott Haven,2014,0.48621
Hunts Point,2014,0.48621
Morrisania,2014,0.59483
Concourse/Highbridge,2014,0.91748
University Heights,2014,0.87406
East Tremont,2014,0.59483
Bedford Park,2014,0.92788
Riverdale,2014,0.77346
Unionport/Soundview,2014,0.49511
Throgs Neck,2014,0.36405
Pelham Parkway,2014,0.55384
Williamsbridge,2014,0.39718
Williamsburg/Greenpoint,2014,0.52117
Fort Greene/Brooklyn Hts,2014,0.39593
Bedford Stuyvesant,2014,0.50097
Bushwick,2014,0.43943
East New York,2014,0.36762
Park Slope,2014,0.36582
Sunset Park,2014,0.49172
Crown Heights North,2014,0.55432
Crown Heights South,2014,0.79988
Bay Ridge,2014,0.5764
Bensonhurst,2014,0.43813
Borough Park,2014,0.51122
Coney Island,2014,0.47632
Flatbush/Midwood,2014,0.74467
Sheepshead Bay,2014,0.52626
Brownsville,2014,0.47338
East Flatbush,2014,0.54276
Canarsie,2014,0.1353
Astoria,2014,0.52448
Sunnyside/Woodside,2014,0.60694
Jackson Heights,2014,0.53499
Elmhurst/Corona,2014,0.51773
Ridgewood/Glendale,2014,0.40264
Rego Park/Forest Hills,2014,0.76205
Flushing,2014,0.50106
Fresh Meadows/Briarwood,2014,0.48662
Woodhaven,2014,0.32499
Howard Beach,2014,0.01546
Bayside,2014,0.22461
Jamaica/St. Albans,2014,0.32068
Queens Village,2014,0.11583
The Rockaways,2014,0.43528
St. George,2014,0.35138
South Beach,2014,0.13696
Tottenville,2014,0.17096
Bronx,2014,0.65253
Brooklyn,2014,0.4982
Manhattan,2014,0.56931
Queens,2014,0.46028
Staten Island,2014,0.25406
New York City,2014,0.53071
Battery Park/Tribeca,2017,0.39203
Greenwich Village,2017,0.39203
Lower East Side,2017,0.39927
Chelsea/Clinton,2017,0.4862
Midtown Business District,2017,0.4862
Murray Hill/Stuyvesant,2017,0.44476
Upper West Side,2017,0.4136
Upper East Side,2017,0.37674
Manhattanville,2017,0.61392
Central Harlem,2017,0.58617
East Harlem,2017,0.43197
Washington Heights,2017,0.8151
Mott Haven,2017,0.5226
Hunts Point,2017,0.5226
Morrisania,2017,0.54551
Concourse/Highbridge,2017,0.90684
University Heights,2017,0.8724
East Tremont,2017,0.54551
Bedford Park,2017,0.91426
Riverdale,2017,0.83627
Unionport/Soundview,2017,0.48146
Throgs Neck,2017,0.37619
Pelham Parkway,2017,0.48211
Williamsbridge,2017,0.4257
Williamsburg/Greenpoint,2017,0.48946
Fort Greene/Brooklyn Hts,2017,0.32167
Bedford Stuyvesant,2017,0.40527
Bushwick,2017,0.34295
East New York,2017,0.30976
Park Slope,2017,0.28019
Sunset Park,2017,0.40942
Crown Heights North,2017,0.49689
Crown Heights South,2017,0.7923
Bay Ridge,2017,0.5705
Bensonhurst,2017,0.44823
Borough Park,2017,0.49881
Coney Island,2017,0.6068
Flatbush/Midwood,2017,0.72149
Sheepshead Bay,2017,0.504
Brownsville,2017,0.41462
East Flatbush,2017,0.55022
Canarsie,2017,0.11734
Astoria,2017,0.469
Sunnyside/Woodside,2017,0.55263
Jackson Heights,2017,0.53094
Elmhurst/Corona,2017,0.51174
Ridgewood/Glendale,2017,0.40697
Rego Park/Forest Hills,2017,0.69636
Flushing,2017,0.4588
Fresh Meadows/Briarwood,2017,0.39327
Woodhaven,2017,0.33383
Howard Beach,2017,0.0162
Bayside,2017,0.25972
Jamaica/St. Albans,2017,0.32149
Queens Village,2017,0.10498
The Rockaways,2017,0.49302
St. George,2017,0.36029
South Beach,2017,0.07502
Tottenville,2017,0.13728
Bronx,2017,0.65602
Brooklyn,2017,0.4661
Manhattan,2017,0.49007
Queens,2017,0.4364
Staten Island,2017,0.22942
New York City,2017,0.49352
