Neighborhood,Year,Poverty Rate
Coney Island,2017,24.8
Bensonhurst,2017,17.299999999999997
Flatbush/Midwood,2017,16.8
East New York,2017,24.7
Bay Ridge,2017,15.2
Sunset Park,2017,22.1
Crown Heights South,2017,19.1
East Flatbush,2017,13.700000000000001
Canarsie,2017,8.9
Flushing,2017,16.2
Borough Park,2017,30.8
Queens Village,2017,8.9
Jamaica/St. Albans,2017,11.3
Elmhurst/Corona,2017,15.6
Rego Park/Forest Hills,2017,8.1
Sunnyside/Woodside,2017,9.3
Ridgewood/Glendale,2017,8.4
Woodhaven,2017,12.2
Howard Beach,2017,10.4
The Rockaways,2017,19.8
Bronx,2017,28.000000000000004
Brooklyn,2017,19.8
Manhattan,2017,16.2
Queens,2017,12.1
Staten Island,2017,11.799999999999999
New York City,2017,18.0
Brownsville,2017,39.900000000000006
Fresh Meadows/Briarwood,2017,12.3
Crown Heights North,2017,20.0
Bayside,2017,9.8
Fort Greene/Brooklyn Hts,2017,14.899999999999999
Williamsbridge,2017,14.6
Throgs Neck,2017,10.2
Pelham Parkway,2017,16.400000000000002
Morrisania,2017,35.8
East Tremont,2017,35.8
Bedford Park,2017,32.9
University Heights,2017,36.4
Concourse/Highbridge,2017,36.4
Unionport/Soundview,2017,24.7
Mott Haven,2017,44.2
Hunts Point,2017,44.2
Washington Heights,2017,18.7
Manhattanville,2017,22.7
Central Harlem,2017,23.5
East Harlem,2017,31.5
Riverdale,2017,18.5
Upper East Side,2017,6.1
Park Slope,2017,7.8
Bedford Stuyvesant,2017,24.4
Bushwick,2017,27.1
Williamsburg/Greenpoint,2017,23.3
South Beach,2017,10.2
Tottenville,2017,6.6000000000000005
St. George,2017,17.9
Battery Park/Tribeca,2017,8.799999999999999
Lower East Side,2017,27.3
Murray Hill/Stuyvesant,2017,8.0
Midtown Business District,2017,13.8
Chelsea/Clinton,2017,13.8
Upper West Side,2017,9.9
Greenwich Village,2017,8.799999999999999
Sunnyside/Woodside,2018,7.795000000000001
Rego Park/Forest Hills,2018,8.078000000000001
Ridgewood/Glendale,2018,9.756
Elmhurst/Corona,2018,12.879
Jackson Heights,2018,13.416
Astoria,2018,13.941
Borough Park,2018,27.846
East Flatbush,2018,10.211
Brownsville,2018,27.839000000000002
Sheepshead Bay,2018,14.459
Flatbush/Midwood,2018,14.430000000000001
Coney Island,2018,28.894
Flushing,2018,14.338999999999999
Canarsie,2018,9.614
Fresh Meadows/Briarwood,2018,12.98
St. George,2018,16.952
Howard Beach,2018,8.738
Bayside,2018,6.093
Jamaica/St. Albans,2018,13.062000000000001
Queens Village,2018,7.091
The Rockaways,2018,16.398
South Beach,2018,9.346
Tottenville,2018,7.446999999999999
