Neighborhood,Year,Unemployment Rate
Morrisania,2017,14.499999999999998
East Tremont,2017,14.499999999999998
Bedford Park,2017,10.7
University Heights,2017,16.0
Concourse/Highbridge,2017,12.5
Unionport/Soundview,2017,8.5
Mott Haven,2017,13.5
Hunts Point,2017,13.5
Washington Heights,2017,8.7
Manhattanville,2017,5.7
Central Harlem,2017,8.200000000000001
East Harlem,2017,8.9
Upper East Side,2017,2.1
Upper West Side,2017,4.8
Chelsea/Clinton,2017,4.8
Midtown Business District,2017,4.8
Murray Hill/Stuyvesant,2017,3.9
Lower East Side,2017,6.3
Battery Park/Tribeca,2017,2.6
Greenwich Village,2017,2.6
Tottenville,2017,4.3999999999999995
South Beach,2017,4.8
St. George,2017,3.9
Williamsburg/Greenpoint,2017,5.5
Bushwick,2017,5.2
Bedford Stuyvesant,2017,4.7
Fort Greene/Brooklyn Hts,2017,5.6000000000000005
Park Slope,2017,4.2
Crown Heights North,2017,6.800000000000001
Brownsville,2017,20.7
East New York,2017,9.0
Canarsie,2017,5.3
East Flatbush,2017,5.8999999999999995
Crown Heights South,2017,7.8
Sunset Park,2017,6.7
Bay Ridge,2017,4.7
Borough Park,2017,5.2
Flatbush/Midwood,2017,6.2
Sheepshead Bay,2017,5.2
Bensonhurst,2017,6.1
Coney Island,2017,6.1
Astoria,2017,4.6
Jackson Heights,2017,4.2
Flushing,2017,2.6
Bayside,2017,4.9
Queens Village,2017,7.5
Fresh Meadows/Briarwood,2017,5.800000000000001
Elmhurst/Corona,2017,4.3
Rego Park/Forest Hills,2017,3.0
Sunnyside/Woodside,2017,3.0
Ridgewood/Glendale,2017,4.8
Woodhaven,2017,5.8999999999999995
Jamaica/St. Albans,2017,7.3999999999999995
Howard Beach,2017,5.4
The Rockaways,2017,10.0
Bronx,2017,10.9
Brooklyn,2017,6.4
Manhattan,2017,5.4
Queens,2017,5.2
Staten Island,2017,4.3
New York City,2017,6.4
Riverdale,2018,8.7
Williamsbridge,2018,9.4
Throgs Neck,2018,7.1
Pelham Parkway,2018,6.9
Morrisania,2018,13.3
East Tremont,2018,13.3
Bedford Park,2018,9.8
University Heights,2018,13.5
Concourse/Highbridge,2018,10.5
Unionport/Soundview,2018,7.6
Mott Haven,2018,14.000000000000002
Hunts Point,2018,14.000000000000002
Washington Heights,2018,8.3
Manhattanville,2018,4.3999999999999995
Central Harlem,2018,5.3
East Harlem,2018,6.5
Upper East Side,2018,2.7
Upper West Side,2018,5.1
Chelsea/Clinton,2018,5.3
Midtown Business District,2018,5.3
Murray Hill/Stuyvesant,2018,2.7
Lower East Side,2018,6.0
Battery Park/Tribeca,2018,3.6999999999999997
Greenwich Village,2018,3.6999999999999997
Tottenville,2018,2.8000000000000003
South Beach,2018,3.8
