Neighborhood,Year,Median Rent,Median Income,RTI (%)
Battery Park/Tribeca,2010,2427.1207,123927.56932,23.501992784828712
Greenwich Village,2010,2427.1207,123927.56932,23.501992784828712
Tottenville,2010,1274.23837,99116.32798,15.427186167636716
South Beach,2010,1143.17385,83415.28418,16.44553073798567
St. George,2010,1249.96716,72012.67113,20.829120326507734
Williamsburg/Greenpoint,2010,1182.00778,50821.48031,27.909642288024884
Bushwick,2010,1202.63831,44962.41095,32.09716608846573
Bedford Stuyvesant,2010,1055.7975,44883.52952,28.227659757360367
Fort Greene/Brooklyn Hts,2010,1594.6183,87123.9246,21.963449979846295
Park Slope,2010,1902.86263,100653.90894,22.68600574033504
Crown Heights North,2010,1155.30945,46808.23624,29.618106798377415
Brownsville,2010,890.7533,31840.18289,33.57091143894494
East New York,2010,1144.38741,38306.03243,35.849833691586
Canarsie,2010,1236.618,71386.47399,20.787433768025497
East Flatbush,2010,1173.51286,52583.56994,26.780521626942246
Crown Heights South,2010,1100.69924,47078.86019,28.05588501228326
Sunset Park,2010,1291.22821,49030.26524,31.60239587559694
Bay Ridge,2010,1319.1401,58696.27342,26.968801045904627
Borough Park,2010,1337.34351,43858.07103,36.591034997920204
Flatbush/Midwood,2010,1179.58066,52268.04425,27.08149524840888
Sheepshead Bay,2010,1149.24165,56974.23128,24.205503944800217
Bensonhurst,2010,1123.75688,46411.402,29.055538033520296
Coney Island,2010,956.28556,35334.02313,32.47698875890785
Astoria,2010,1415.01137,56460.89526,30.07415373384924
Jackson Heights,2010,1356.76047,54470.65628,29.889718156338684
Flushing,2010,1451.41818,63227.70776,27.54649627045091
Bayside,2010,1497.53347,85548.72327,21.0060430513775
Queens Village,2010,1474.47582,92317.9629,19.16605315388735
Fresh Meadows/Briarwood,2010,1366.46895,67031.0059,24.462750006262397
Elmhurst/Corona,2010,1388.31304,50106.69327,33.24856499755207
Rego Park/Forest Hills,2010,1473.26226,66913.29055,26.4209800096283
Sunnyside/Woodside,2010,1428.36053,63340.56888,27.060581651031107
Ridgewood/Glendale,2010,1376.17744,64634.22421,25.55013150052629
