"Name","Residential Units by Building Type"
"Description","Building type refers to the land use categories based on the classification from New York City's Department of City Planning/Department of Finance; read more here:&nbsp;<a href=""https://www1.nyc.gov/assets/planning/download/pdf/data-maps/open-data/pluto_datadictionary.pdf?r=16v2"">https://www1.nyc.gov/assets/planning/download/pdf/data-maps/open-data/pluto_datadictionary.pdf?r=16v2</a>."
"Source Notes","CCC analysis of NYC Pluto Data Downloader, version 2018v2. Retrieved from&nbsp;<a href=""https://chriswhong.github.io/plutoplus/"">https://chriswhong.github.io/plutoplus/</a>."
"Notes",""

Location,Building Type,TimeFrame,DataFormat,Data,Fips
Bayside,Multi-Family Elevator,2018,Number,3668,411
Jamaica/St. Albans,Multi-Family Elevator,2018,Number,17619,412
Queens Village,Multi-Family Elevator,2018,Number,2630,413
The Rockaways,Multi-Family Elevator,2018,Number,18928,414
St. George,Multi-Family Elevator,2018,Number,10152,501
South Beach,Multi-Family Elevator,2018,Number,3750,502
Tottenville,Multi-Family Elevator,2018,Number,1086,503
Bronx,Multi-Family Elevator,2018,Number,272287,36005
Brooklyn,Multi-Family Elevator,2018,Number,222253,36047
Manhattan,Multi-Family Elevator,2018,Number,372219,36061
Queens,Multi-Family Elevator,2018,Number,207729,36081
Staten Island,Multi-Family Elevator,2018,Number,14988,36085
New York City,Multi-Family Elevator,2018,Number,1089476,3651000
Battery Park/Tribeca,Multi-Family Elevator,2018,Percent,0.33218,101
Greenwich Village,Multi-Family Elevator,2018,Percent,0.32693,102
Lower East Side,Multi-Family Elevator,2018,Percent,0.34143,103
Chelsea/Clinton,Multi-Family Elevator,2018,Percent,0.34155,104
Midtown Business District,Multi-Family Elevator,2018,Percent,0.29458,105
Murray Hill/Stuyvesant,Multi-Family Elevator,2018,Percent,0.40481,106
Upper West Side,Multi-Family Elevator,2018,Percent,0.45953,107
Upper East Side,Multi-Family Elevator,2018,Percent,0.46161,108
Manhattanville,Multi-Family Elevator,2018,Percent,0.50887,109
Central Harlem,Multi-Family Elevator,2018,Percent,0.33389,110
East Harlem,Multi-Family Elevator,2018,Percent,0.52999,111
Washington Heights,Multi-Family Elevator,2018,Percent,0.3468,112
Mott Haven,Multi-Family Elevator,2018,Percent,0.46937,201
Hunts Point,Multi-Family Elevator,2018,Percent,0.28977,202
Morrisania,Multi-Family Elevator,2018,Percent,0.35186,203
Concourse/Highbridge,Multi-Family Elevator,2018,Percent,0.43153,204
University Heights,Multi-Family Elevator,2018,Percent,0.45537,205
East Tremont,Multi-Family Elevator,2018,Percent,0.29753,206
Bedford Park,Multi-Family Elevator,2018,Percent,0.3931,207
Riverdale,Multi-Family Elevator,2018,Percent,0.64905,208
Unionport/Soundview,Multi-Family Elevator,2018,Percent,0.41159,209
Throgs Neck,Multi-Family Elevator,2018,Percent,0.41355,210
Pelham Parkway,Multi-Family Elevator,2018,Percent,0.47076,211
Williamsbridge,Multi-Family Elevator,2018,Percent,0.20466,212
Williamsburg/Greenpoint,Multi-Family Elevator,2018,Percent,0.24751,301
Fort Greene/Brooklyn Hts,Multi-Family Elevator,2018,Percent,0.2868,302
Bedford Stuyvesant,Multi-Family Elevator,2018,Percent,0.24251,303
Bushwick,Multi-Family Elevator,2018,Percent,0.09871,304
East New York,Multi-Family Elevator,2018,Percent,0.26354,305
Park Slope,Multi-Family Elevator,2018,Percent,0.17895,306
Sunset Park,Multi-Family Elevator,2018,Percent,0.0864,307
Crown Heights North,Multi-Family Elevator,2018,Percent,0.27507,308
Crown Heights South,Multi-Family Elevator,2018,Percent,0.37441,309
Bay Ridge,Multi-Family Elevator,2018,Percent,0.2405,310
Bensonhurst,Multi-Family Elevator,2018,Percent,0.12704,311
Borough Park,Multi-Family Elevator,2018,Percent,0.21304,312
Coney Island,Multi-Family Elevator,2018,Percent,0.60212,313
Flatbush/Midwood,Multi-Family Elevator,2018,Percent,0.53083,314
Sheepshead Bay,Multi-Family Elevator,2018,Percent,0.37726,315
Brownsville,Multi-Family Elevator,2018,Percent,0.33638,316
East Flatbush,Multi-Family Elevator,2018,Percent,0.20986,317
Canarsie,Multi-Family Elevator,2018,Percent,0.11858,318
Astoria,Multi-Family Elevator,2018,Percent,0.21348,401
Sunnyside/Woodside,Multi-Family Elevator,2018,Percent,0.28226,402
Jackson Heights,Multi-Family Elevator,2018,Percent,0.33539,403
Elmhurst/Corona,Multi-Family Elevator,2018,Percent,0.33862,404
Ridgewood/Glendale,Multi-Family Elevator,2018,Percent,0.02742,405
Rego Park/Forest Hills,Multi-Family Elevator,2018,Percent,0.60356,406
Flushing,Multi-Family Elevator,2018,Percent,0.28461,407
Fresh Meadows/Briarwood,Multi-Family Elevator,2018,Percent,0.30623,408
Woodhaven,Multi-Family Elevator,2018,Percent,0.17802,409
Howard Beach,Multi-Family Elevator,2018,Percent,0.0557,410
Bayside,Multi-Family Elevator,2018,Percent,0.08121,411
Jamaica/St. Albans,Multi-Family Elevator,2018,Percent,0.22906,412
Queens Village,Multi-Family Elevator,2018,Percent,0.04326,413
The Rockaways,Multi-Family Elevator,2018,Percent,0.41324,414
St. George,Multi-Family Elevator,2018,Percent,0.15616,501
South Beach,Multi-Family Elevator,2018,Percent,0.07695,502
Tottenville,Multi-Family Elevator,2018,Percent,0.01785,503
Bronx,Multi-Family Elevator,2018,Percent,0.26423,36005
Brooklyn,Multi-Family Elevator,2018,Percent,0.408,36047
Manhattan,Multi-Family Elevator,2018,Percent,0.40061,36061
Queens,Multi-Family Elevator,2018,Percent,0.24363,36081
Staten Island,Multi-Family Elevator,2018,Percent,0.08585,36085
New York City,Multi-Family Elevator,2018,Percent,0.3085,3651000
Battery Park/Tribeca,Mixed Residential and Commercial,2018,Number,28890,101
Greenwich Village,Mixed Residential and Commercial,2018,Number,26835,102
Lower East Side,Mixed Residential and Commercial,2018,Number,40174,103
Chelsea/Clinton,Mixed Residential and Commercial,2018,Number,42566,104
Midtown Business District,Mixed Residential and Commercial,2018,Number,32673,105
Murray Hill/Stuyvesant,Mixed Residential and Commercial,2018,Number,53172,106
Upper West Side,Mixed Residential and Commercial,2018,Number,49082,107
Upper East Side,Mixed Residential and Commercial,2018,Number,58763,108
Manhattanville,Mixed Residential and Commercial,2018,Number,10004,109
Central Harlem,Mixed Residential and Commercial,2018,Number,19937,110
East Harlem,Mixed Residential and Commercial,2018,Number,17383,111
Washington Heights,Mixed Residential and Commercial,2018,Number,24562,112
Mott Haven,Mixed Residential and Commercial,2018,Number,11374,201
