"Name","Occupied Public Housing and Rent Regulated Units"
"Description","Numbers and percents refer to the count and share of <em>all occupied rental units</em> for each geography. ""Rent Regulated"" includes any of the following building types: Rent-Stabilized pre- and post-1947, Rent-Controlled, HUD regulated (Section 8), Mitchell Lama rentals, and Article 4 or 5 buildings."
"Source Notes","U.S. Census Bureau, New York City Housing and Vacancy Survey (2002, 2005, 2008, 2011, 2014, &amp; 2017); Retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/hpd/about/nychvs.page"">https://www1.nyc.gov/site/hpd/about/nychvs.page</a>."
"Notes",""

Location,Housing Type,TimeFrame,DataFormat,Data,Fips
Brooklyn,Rent Regulated,2005,Number,317445.29638,36047
Manhattan,Public Housing,2005,Number,50660.09937,36061
Manhattan,Rent Regulated,2005,Number,377083.41685,36061
Queens,Public Housing,2005,Number,17030.37611,36081
Queens,Rent Regulated,2005,Number,211767.89805,36081
Staten Island,Public Housing,2005,Number,2412.87061,36085
Staten Island,Rent Regulated,2005,Number,12025.99334,36085
New York City,Public Housing,2005,Number,167539.43725,3651000
New York City,Rent Regulated,2005,Number,1181218.2136,3651000
Battery Park/Tribeca,Public Housing,2008,Number,0,101
Battery Park/Tribeca,Rent Regulated,2008,Number,11221.85957,101
Greenwich Village,Public Housing,2008,Number,0,102
Greenwich Village,Rent Regulated,2008,Number,16565.75997,102
Lower East Side,Public Housing,2008,Number,17813.50411,103
Lower East Side,Rent Regulated,2008,Number,30068.27516,103
Chelsea/Clinton,Public Housing,2008,Number,1525.88475,104
Chelsea/Clinton,Rent Regulated,2008,Number,22605.49759,104
Midtown Business District,Public Housing,2008,Number,763.68873,105
Midtown Business District,Rent Regulated,2008,Number,11313.80577,105
Murray Hill/Stuyvesant,Public Housing,2008,Number,765.78862,106
Murray Hill/Stuyvesant,Rent Regulated,2008,Number,29928.16464,106
Upper West Side,Public Housing,2008,Number,5843.6393,107
Upper West Side,Rent Regulated,2008,Number,41622.86584,107
Upper East Side,Public Housing,2008,Number,2333.86577,108
Upper East Side,Rent Regulated,2008,Number,42927.63628,108
Manhattanville,Public Housing,2008,Number,4431.69464,109
Manhattanville,Rent Regulated,2008,Number,32342.37091,109
Central Harlem,Public Housing,2008,Number,8644.89706,110
Central Harlem,Rent Regulated,2008,Number,26814.42102,110
East Harlem,Public Housing,2008,Number,15872.1191,111
East Harlem,Rent Regulated,2008,Number,20430.29925,111
Washington Heights,Public Housing,2008,Number,1601.97818,112
Washington Heights,Rent Regulated,2008,Number,57098.50706,112
Mott Haven,Public Housing,2008,Number,7587.18482,201
Mott Haven,Rent Regulated,2008,Number,17602.91945,201
Hunts Point,Public Housing,2008,Number,4332.38312,202
Hunts Point,Rent Regulated,2008,Number,10051.50038,202
Morrisania,Public Housing,2008,Number,3767.38456,203
Morrisania,Rent Regulated,2008,Number,13143.33836,203
Concourse/Highbridge,Public Housing,2008,Number,2101.30449,204
Concourse/Highbridge,Rent Regulated,2008,Number,34860.32901,204
University Heights,Public Housing,2008,Number,1522.66075,205
University Heights,Rent Regulated,2008,Number,40608.43044,205
East Tremont,Public Housing,2008,Number,3932.98284,206
East Tremont,Rent Regulated,2008,Number,13721.0639,206
Bedford Park,Public Housing,2008,Number,749.62962,207
Bedford Park,Rent Regulated,2008,Number,36026.89535,207
Riverdale,Public Housing,2008,Number,3303.0387,208
Riverdale,Rent Regulated,2008,Number,22724.08392,208
Unionport/Soundview,Public Housing,2008,Number,7484.42262,209
Unionport/Soundview,Rent Regulated,2008,Number,25849.55158,209
Throgs Neck,Public Housing,2008,Number,1745.70316,210
Throgs Neck,Rent Regulated,2008,Number,7295.18838,210
Pelham Parkway,Public Housing,2008,Number,3842.60778,211
Pelham Parkway,Rent Regulated,2008,Number,15266.96648,211
Williamsbridge,Public Housing,2008,Number,3105.81485,212
Williamsbridge,Rent Regulated,2008,Number,14027.35548,212
Williamsburg/Greenpoint,Public Housing,2008,Number,4816.93132,301
Williamsburg/Greenpoint,Rent Regulated,2008,Number,26224.08181,301
Fort Greene/Brooklyn Hts,Public Housing,2008,Number,5134.12914,302
Fort Greene/Brooklyn Hts,Rent Regulated,2008,Number,14605.93658,302
Bedford Stuyvesant,Public Housing,2008,Number,7660.46093,303
Bedford Stuyvesant,Rent Regulated,2008,Number,9571.62773,303
Bushwick,Public Housing,2008,Number,4504.40556,304
Bushwick,Rent Regulated,2008,Number,12381.57487,304
East New York,Public Housing,2008,Number,7383.52338,305
East New York,Rent Regulated,2008,Number,13341.79888,305
Park Slope,Public Housing,2008,Number,3165.80547,306
Park Slope,Rent Regulated,2008,Number,12501.93978,306
Sunset Park,Public Housing,2008,Number,0,307
Sunset Park,Rent Regulated,2008,Number,12346.08298,307
Crown Heights North,Public Housing,2008,Number,5244.97993,308
Crown Heights North,Rent Regulated,2008,Number,22558.33731,308
Crown Heights South,Public Housing,2008,Number,0,309
Crown Heights South,Rent Regulated,2008,Number,29261.84876,309
Bay Ridge,Public Housing,2008,Number,0,310
Bay Ridge,Rent Regulated,2008,Number,17488.14543,310
Bensonhurst,Public Housing,2008,Number,0,311
Bensonhurst,Rent Regulated,2008,Number,20012.64322,311
Borough Park,Public Housing,2008,Number,0,312
Borough Park,Rent Regulated,2008,Number,17935.89703,312
Coney Island,Public Housing,2008,Number,6636.38553,313
Coney Island,Rent Regulated,2008,Number,18690.66643,313
Flatbush/Midwood,Public Housing,2008,Number,0,314
Flatbush/Midwood,Rent Regulated,2008,Number,37679.24856,314
Sheepshead Bay,Public Housing,2008,Number,2991.69559,315
Sheepshead Bay,Rent Regulated,2008,Number,19739.3736,315
Brownsville,Public Housing,2008,Number,8696.30022,316
Brownsville,Rent Regulated,2008,Number,13004.95379,316
East Flatbush,Public Housing,2008,Number,0,317
East Flatbush,Rent Regulated,2008,Number,17879.63352,317
Canarsie,Public Housing,2008,Number,4857.80271,318
Canarsie,Rent Regulated,2008,Number,2792.0953,318
Astoria,Public Housing,2008,Number,8050.01867,401
Astoria,Rent Regulated,2008,Number,34463.89525,401
Sunnyside/Woodside,Public Housing,2008,Number,0,402
Sunnyside/Woodside,Rent Regulated,2008,Number,26406.82365,402
Jackson Heights,Public Housing,2008,Number,0,403
Jackson Heights,Rent Regulated,2008,Number,19076.97636,403
Elmhurst/Corona,Public Housing,2008,Number,0,404
Elmhurst/Corona,Rent Regulated,2008,Number,21645.59033,404
Ridgewood/Glendale,Public Housing,2008,Number,0,405
Ridgewood/Glendale,Rent Regulated,2008,Number,12491.3018,405
Rego Park/Forest Hills,Public Housing,2008,Number,0,406
Rego Park/Forest Hills,Rent Regulated,2008,Number,20397.2969,406
Flushing,Public Housing,2008,Number,0,407
Flushing,Rent Regulated,2008,Number,24409.18855,407
Fresh Meadows/Briarwood,Public Housing,2008,Number,2282.92176,408
Fresh Meadows/Briarwood,Rent Regulated,2008,Number,16909.64759,408
Woodhaven,Public Housing,2008,Number,0,409
Woodhaven,Rent Regulated,2008,Number,7736.61466,409
Howard Beach,Public Housing,2008,Number,0,410
Howard Beach,Rent Regulated,2008,Number,2469.33937,410
Bayside,Public Housing,2008,Number,0,411
Bayside,Rent Regulated,2008,Number,997.97976,411
Jamaica/St. Albans,Public Housing,2008,Number,2400.64677,412
Jamaica/St. Albans,Rent Regulated,2008,Number,15551.39147,412
Queens Village,Public Housing,2008,Number,0,413
Queens Village,Rent Regulated,2008,Number,3546.23213,413
The Rockaways,Public Housing,2008,Number,4209.64531,414
The Rockaways,Rent Regulated,2008,Number,11168.36548,414
St. George,Public Housing,2008,Number,1977.07263,501
St. George,Rent Regulated,2008,Number,6480.53857,501
South Beach,Public Housing,2008,Number,724.47842,502
South Beach,Rent Regulated,2008,Number,775.73101,502
Tottenville,Public Housing,2008,Number,0,503
Tottenville,Rent Regulated,2008,Number,2920.88072,503
Bronx,Public Housing,2008,Number,43475.11731,36005
Bronx,Rent Regulated,2008,Number,251177.62273,36005
Brooklyn,Public Housing,2008,Number,61092.41978,36047
Brooklyn,Rent Regulated,2008,Number,318015.88558,36047
Manhattan,Public Housing,2008,Number,59597.06026,36061
Manhattan,Rent Regulated,2008,Number,342939.46306,36061
Queens,Public Housing,2008,Number,16943.23251,36081
Queens,Rent Regulated,2008,Number,217270.6433,36081
Staten Island,Public Housing,2008,Number,2701.55105,36085
Staten Island,Rent Regulated,2008,Number,10177.1503,36085
New York City,Public Housing,2008,Number,183809.38091,3651000
New York City,Rent Regulated,2008,Number,1139580.76497,3651000
Battery Park/Tribeca,Public Housing,2011,Number,0,101
Battery Park/Tribeca,Rent Regulated,2011,Number,9623.53547,101
Greenwich Village,Public Housing,2011,Number,0,102
Greenwich Village,Rent Regulated,2011,Number,14206.30667,102
Lower East Side,Public Housing,2011,Number,13375.74901,103
Lower East Side,Rent Regulated,2011,Number,33778.38344,103
Chelsea/Clinton,Public Housing,2011,Number,1532.60785,104
Chelsea/Clinton,Rent Regulated,2011,Number,21537.67574,104
Midtown Business District,Public Housing,2011,Number,767.05356,105
Midtown Business District,Rent Regulated,2011,Number,10779.37255,105
Murray Hill/Stuyvesant,Public Housing,2011,Number,847.14766,106
Murray Hill/Stuyvesant,Rent Regulated,2011,Number,26154.27126,106
Upper West Side,Public Housing,2011,Number,5545.17025,107
Upper West Side,Rent Regulated,2011,Number,31156.08155,107
Upper East Side,Public Housing,2011,Number,1546.25074,108
Upper East Side,Rent Regulated,2011,Number,38665.11826,108
Manhattanville,Public Housing,2011,Number,4027.14005,109
Manhattanville,Rent Regulated,2011,Number,23713.89395,109
Central Harlem,Public Housing,2011,Number,8345.83678,110
Central Harlem,Rent Regulated,2011,Number,26494.65034,110
East Harlem,Public Housing,2011,Number,14738.65442,111
East Harlem,Rent Regulated,2011,Number,20374.44728,111
Washington Heights,Public Housing,2011,Number,2027.87668,112
Washington Heights,Rent Regulated,2011,Number,56196.36957,112
Mott Haven,Public Housing,2011,Number,10597.27052,201
Mott Haven,Rent Regulated,2011,Number,13809.05978,201
Hunts Point,Public Housing,2011,Number,6051.18196,202
Hunts Point,Rent Regulated,2011,Number,7885.1562,202
Morrisania,Public Housing,2011,Number,5229.51061,203
Morrisania,Rent Regulated,2011,Number,14176.94029,203
Concourse/Highbridge,Public Housing,2011,Number,777.47708,204
Concourse/Highbridge,Rent Regulated,2011,Number,40912.8008,204
University Heights,Public Housing,2011,Number,781.89099,205
University Heights,Rent Regulated,2011,Number,35318.24857,205
East Tremont,Public Housing,2011,Number,5459.37776,206
East Tremont,Rent Regulated,2011,Number,14800.09859,206
Bedford Park,Public Housing,2011,Number,0,207
Bedford Park,Rent Regulated,2011,Number,38695.25834,207
Riverdale,Public Housing,2011,Number,749.01368,208
Riverdale,Rent Regulated,2011,Number,22241.72885,208
Unionport/Soundview,Public Housing,2011,Number,9338.10164,209
Unionport/Soundview,Rent Regulated,2011,Number,22065.62829,209
Throgs Neck,Public Housing,2011,Number,1998.16349,210
Throgs Neck,Rent Regulated,2011,Number,9234.4719,210
Pelham Parkway,Public Housing,2011,Number,3620.28094,211
Pelham Parkway,Rent Regulated,2011,Number,17319.92117,211
