"Name","Fair to Poor Housing"
"Description","Adults who rate their neighborhood housing conditions as fair or poor.&nbsp;"
"Source Notes","U.S. Census Bureau, Housing and Vacancy Survey, Microdata files (2002, 2005, 2008, 2011, 2014, 2017); retrieved from&nbsp;<a href=""https://www.census.gov/programs-surveys/nychvs.html"" target=""_blank"">https://www.census.gov/programs-surveys/nychvs.html</a>."
"Notes","In the Housing and Vacancy Survey (HVS), respondents are asked to rate the physical condition of the residential structures in their neighborhood, on a scale from ""excellent, good, fair, or poor."""

Location,TimeFrame,DataFormat,Data,Fips
University Heights,2017,Percent,0.50894,205
East Tremont,2017,Percent,0.53826,206
Bedford Park,2017,Percent,0.44625,207
Riverdale,2017,Percent,0.20038,208
Unionport/Soundview,2017,Percent,0.29184,209
Throgs Neck,2017,Percent,0.14247,210
Pelham Parkway,2017,Percent,0.2095,211
Williamsbridge,2017,Percent,0.36578,212
Williamsburg/Greenpoint,2017,Percent,0.13956,301
Fort Greene/Brooklyn Hts,2017,Percent,0.15385,302
Bedford Stuyvesant,2017,Percent,0.24161,303
Bushwick,2017,Percent,0.31797,304
East New York,2017,Percent,0.30773,305
Park Slope,2017,Percent,0.08395,306
Sunset Park,2017,Percent,0.14605,307
Crown Heights North,2017,Percent,0.21626,308
Crown Heights South,2017,Percent,0.27164,309
Bay Ridge,2017,Percent,0.09483,310
Bensonhurst,2017,Percent,0.09505,311
Borough Park,2017,Percent,0.10592,312
Coney Island,2017,Percent,0.21346,313
Flatbush/Midwood,2017,Percent,0.18799,314
Sheepshead Bay,2017,Percent,0.10836,315
Brownsville,2017,Percent,0.47465,316
East Flatbush,2017,Percent,0.26991,317
Canarsie,2017,Percent,0.20703,318
Astoria,2017,Percent,0.16036,401
Sunnyside/Woodside,2017,Percent,0.11829,402
Jackson Heights,2017,Percent,0.16027,403
Elmhurst/Corona,2017,Percent,0.18427,404
Ridgewood/Glendale,2017,Percent,0.05665,405
Rego Park/Forest Hills,2017,Percent,0.06314,406
Flushing,2017,Percent,0.14171,407
Fresh Meadows/Briarwood,2017,Percent,0.12767,408
Woodhaven,2017,Percent,0.10946,409
Howard Beach,2017,Percent,0.14332,410
Bayside,2017,Percent,0.01986,411
Jamaica/St. Albans,2017,Percent,0.25748,412
Queens Village,2017,Percent,0.12308,413
The Rockaways,2017,Percent,0.26162,414
St. George,2017,Percent,0.17789,501
South Beach,2017,Percent,0.08909,502
Tottenville,2017,Percent,0.03197,503
