Neighborhood,Year,Unit,Evictions,UHFNAME,Eviction Rate
Astoria,2018,87438,41.0,Long Island City - Astoria,0.04689036803220568
Astoria,2018,87438,41.0,Long Island City - Astoria,0.04689036803220568
Astoria,2018,87438,60.0,Long Island City - Astoria,0.06862005077883758
Astoria,2018,87438,14.0,Long Island City - Astoria,0.016011345181728767
Sunnyside/Woodside,2018,67243,222.0,West Queens,0.3301458887913984
Sunnyside/Woodside,2018,67243,46.0,West Queens,0.06840860758740687
Sunnyside/Woodside,2018,67243,20.0,West Queens,0.029742872864089942
Sunnyside/Woodside,2018,67243,0.0,West Queens,0.0
Sunnyside/Woodside,2018,67243,108.0,West Queens,0.16061151346608568
Sunnyside/Woodside,2018,67243,128.0,West Queens,0.19035438633017565
Sunnyside/Woodside,2018,67243,110.0,West Queens,0.16358580075249468
Sunnyside/Woodside,2018,67243,36.0,West Queens,0.0535371711553619
Ridgewood/Glendale,2018,66329,67.0,Ridgewood - Forest Hills,0.1010116238749265
Ridgewood/Glendale,2018,66329,79.0,Ridgewood - Forest Hills,0.11910325800177901
Ridgewood/Glendale,2018,66329,21.0,Ridgewood - Forest Hills,0.03166035972199189
Ridgewood/Glendale,2018,66329,132.0,Ridgewood - Forest Hills,0.19900797539537757
Flushing,2018,96260,112.0,Flushing - Clearview,0.11635154789112818
Flushing,2018,96260,106.0,Flushing - Clearview,0.11011842925410346
Flushing,2018,96260,25.0,Flushing - Clearview,0.025971327654269686
Flushing,2018,96260,27.0,Flushing - Clearview,0.028049033866611263
Flushing,2018,96260,29.0,Flushing - Clearview,0.03012674007895284
Flushing,2018,96260,0.0,Flushing - Clearview,0.0
Flushing,2018,96260,15.0,Flushing - Clearview,0.015582796592561812
Fresh Meadows/Briarwood,2018,59030,82.0,Fresh Meadows,0.1389124174148738
Fresh Meadows/Briarwood,2018,59030,5.0,Fresh Meadows,0.008470269354565475
Fresh Meadows/Briarwood,2018,59030,85.0,Fresh Meadows,0.1439945790276131
Woodhaven,2018,46203,28.0,Southwest Queens,0.06060212540311235
Woodhaven,2018,46203,53.0,Southwest Queens,0.11471116594160553
Woodhaven,2018,46203,54.0,Southwest Queens,0.11687552756314525
Woodhaven,2018,46203,46.0,Southwest Queens,0.09956063459082742
Woodhaven,2018,46203,55.0,Southwest Queens,0.11903988918468497
Woodhaven,2018,46203,63.0,Southwest Queens,0.13635478215700278
Woodhaven,2018,46203,102.0,Southwest Queens,0.22076488539705214
Woodhaven,2018,46203,60.0,Southwest Queens,0.12986169729238362
Bayside,2018,45165,19.0,Bayside - Little Neck,0.04206797298793313
Bayside,2018,45165,5.0,Bayside - Little Neck,0.011070519207350825
Bayside,2018,45165,6.0,Bayside - Little Neck,0.01328462304882099
Bayside,2018,45165,25.0,Bayside - Little Neck,0.055352596036754124
Jamaica/St. Albans,2018,76920,110.0,Jamaica,0.14300572022880914
Jamaica/St. Albans,2018,76920,104.0,Jamaica,0.13520540821632865
Jamaica/St. Albans,2018,76920,0.0,Jamaica,0.0
Jamaica/St. Albans,2018,76920,161.0,Jamaica,0.2093083723348934
Jamaica/St. Albans,2018,76920,148.0,Jamaica,0.19240769630785232
Jamaica/St. Albans,2018,76920,218.0,Jamaica,0.2834113364534581
Jamaica/St. Albans,2018,76920,150.0,Jamaica,0.19500780031201248
Jamaica/St. Albans,2018,76920,58.0,Jamaica,0.07540301612064483
The Rockaways,2018,45804,266.0,Rockaway,0.5807353069600908
The Rockaways,2018,45804,117.0,Rockaway,0.25543620644485193
The Rockaways,2018,45804,37.0,Rockaway,0.08077897126888481
The Rockaways,2018,45804,41.0,Rockaway,0.08951183302768317
The Rockaways,2018,45804,0.0,Rockaway,0.0
St. George,2018,65009,124.0,Stapleton - St. George,0.19074282022489192
St. George,2018,65009,153.0,Stapleton - St. George,0.23535202818071344
St. George,2018,65009,38.0,Stapleton - St. George,0.058453444907628174
South Beach,2018,48732,67.0,South Beach - Tottenville,0.13748666174177132
South Beach,2018,48732,18.0,South Beach - Tottenville,0.036936715094804236
South Beach,2018,48732,15.0,South Beach - Tottenville,0.030780595912336863
South Beach,2018,48732,28.0,South Beach - Tottenville,0.05745711236969547
South Beach,2018,48732,16.0,South Beach - Tottenville,0.03283263563982598
